lang	source
fr_CA,fr_CI	Delay offset of the LFO (low frequency oscillator).\nWith width at zero, this allows for manually sweeping over the entire delay range.
fr_CA,fr_CI	How much of the delay output is feed back into the input
fr_CA,fr_CI	Intensity of the effect
fr_CA,fr_CI	Divide rounded 1/2 beats of the Period parameter by 3.
fr_CA,fr_CI	Width
fr_CA,fr_CI	Metronome
fr_CA,fr_CI	Adds a metronome click sound to the stream
fr_CA,fr_CI	Set the beats per minute value of the click sound
fr_CA,fr_CI	Synchronizes the BPM with the track if it can be retrieved
fr_CA,fr_CI	Bounce the sound left and right across the stereo field
fr_CA,fr_CI	How fast the sound goes from one side to another\n1/4 - 4 beats rounded to 1/2 beat if tempo is detected\n1/4 - 4 seconds if no tempo is detected
fr_CA,fr_CI	Smoothing
fr_CA,fr_CI	Smooth
fr_CA,fr_CI	How smoothly the signal goes from one side to the other
fr_CA,fr_CI	How far the signal goes to each side
fr_CA,fr_CI	Emulates the sound of the signal bouncing off the walls of a room
fr_CA,fr_CI	Lower decay values cause reverberations to fade out more quickly.
fr_CA,fr_CI	Bandwidth of the low pass filter at the input.\nHigher values result in less attenuation of high frequencies.
fr_CA,fr_CI	How much of the signal to send in to the effect
fr_CA,fr_CI	Bandwidth
fr_CA,fr_CI	Damping
fr_CA,fr_CI	Higher damping values cause high frequencies to decay more quickly than low frequencies.
fr_CA,fr_CI	Gain for Low Filter
fr_CA,fr_CI	Kill the Low Filter
fr_CA,fr_CI	Mid
fr_CA,fr_CI	A Bessel 4th-order filter isolator with Lipshitz and Vanderkooy mix (bit perfect unity, roll-off -24 dB/octave).
fr_CA,fr_CI	Gain for Mid Filter
fr_CA,fr_CI	Kill the Mid Filter
fr_CA,fr_CI	Gain for High Filter
fr_CA,fr_CI	Kill the High Filter
fr_CA,fr_CI	Graphic Equalizer
fr_CA,fr_CI	Graphic EQ
fr_CA,fr_CI	An 8-band graphic equalizer based on biquad filters
fr_CA,fr_CI	Gain for Band Filter %1
fr_CA,fr_CI	A 4-pole Moog ladder filter, based on Antti Houvilainen's non linear digital implementation
fr_CA,fr_CI	Resonance
fr_CA,fr_CI	Resonance of the filters. 4 = self oscillating
fr_CA,fr_CI	Gain for Low Filter (neutral at 1.0)
fr_CA,fr_CI	Network stream
fr_CA,fr_CI	Stages
fr_CA,fr_CI	Mixes the input signal with a copy passed through a series of all-pass filters to create comb filtering
fr_CA,fr_CI	Period of the LFO (low frequency oscillator)\n1/4 - 4 beats rounded to 1/2 beat if tempo is detected\n1/4 - 4 seconds if no tempo is detected
fr_CA,fr_CI	Controls how much of the output signal is looped
fr_CA,fr_CI	Range
fr_CA,fr_CI	Controls the frequency range across which the notches sweep.
fr_CA,fr_CI	Number of stages
fr_CA,fr_CI	Sets the LFOs (low frequency oscillators) for the left and right channels out of phase with each others
fr_CA,fr_CI	A Bessel 8th-order filter isolator with Lipshitz and Vanderkooy mix (bit perfect unity, roll-off -48 dB/octave).
fr_CA,fr_CI	A Linkwitz-Riley 8th-order filter isolator (optimized crossover, constant phase shift, roll-off -48 dB/octave).
fr_CA,fr_CI	A 3-band Equalizer with two biquad bell filters, a shelving high pass and kill switches.
fr_CA,fr_CI	Device not found
fr_CA,fr_CI	Biquad Full Kill Equalizer
fr_CA,fr_CI	A 3-band Equalizer that combines an Equalizer and an Isolator circuit to offer gentle slopes and full kill.
fr_CA,fr_CI	Loudness Contour
fr_CA,fr_CI	Amplifies low and high frequencies at low volumes to compensate for reduced sensitivity of the human ear.
fr_CA,fr_CI	Set the gain of the applied loudness contour
fr_CA,fr_CI	Use Gain
fr_CA,fr_CI	Follow Gain Knob
fr_CA,fr_CI	This stream is online for testing purposes!
fr_CA,fr_CI	Bit depth
fr_CA,fr_CI	Bitrate Mode
fr_CA,fr_CI	Adjust the left/right balance and stereo width
fr_CA,fr_CI	Adjust balance between left and right channels
fr_CA,fr_CI	Bypass Frequency
fr_CA,fr_CI	Stereo Balance
fr_CA,fr_CI	Adjust stereo width by changing balance between middle and side of the signal.\nFully left: mono\nFully right: only side ambiance\nCenter: does not change the original signal.
fr_CA,fr_CI	Frequencies below this cutoff are not adjusted in the stereo field
fr_CA,fr_CI	Parametric Equalizer
fr_CA,fr_CI	An gentle 2-band parametric equalizer based on biquad filters.\nIt is designed as a complement to the steep mixing equalizers.
fr_CA,fr_CI	Gain for Filter 1
fr_CA,fr_CI	Controls the bandwidth of Filter 1.\nA lower Q affects a wider band of frequencies,\na higher Q affects a narrower band of frequencies.
fr_CA,fr_CI	Center frequency for Filter 1, from 100 Hz to 14 kHz
fr_CA,fr_CI	Gain for Filter 2
fr_CA,fr_CI	Controls the bandwidth of Filter 2.\nA lower Q affects a wider band of frequencies,\na higher Q affects a narrower band of frequencies.
fr_CA,fr_CI	Center frequency for Filter 2, from 100 Hz to 14 kHz
fr_CA,fr_CI	Cycles the volume up and down
fr_CA,fr_CI	How much the effect changes the volume
fr_CA,fr_CI	Rate
fr_CA,fr_CI	Rate of the volume changes\n4 beats - 1/8 beat if tempo is detected\n1/4 Hz - 8 Hz if no tempo is detected
fr_CA,fr_CI	Width of the volume peak\n10% - 90% of the effect period
fr_CA,fr_CI	Shape of the volume modulation wave\nFully left: Square wave\nFully right: Sine wave
fr_CA,fr_CI	When the Quantize parameter is enabled, divide the effect period by 3.
fr_CA,fr_CI	Shifts the position of the volume peak within the period\nFully left: beginning of the effect period\nFully right: end of the effect period
fr_CA,fr_CI	Round the Rate parameter to the nearest whole division of a beat.
fr_CA,fr_CI	Queen Mary Tempo and Beat Tracker
fr_CA,fr_CI	SoundTouch BPM Detector (Legacy)
fr_CA,fr_CI	Constrained VBR
fr_CA,fr_CI	Full VBR (bitrate ignored)
fr_CA,fr_CI	White Noise
fr_CA,fr_CI	Mix white noise with the input signal
fr_CA,fr_CI	Crossfade the noise with the dry signal
fr_CA,fr_CI	<html>Mixxx cannot record or stream in AAC or HE-AAC without the FDK-AAC encoder. In order to record or stream in AAC or AAC+, you need to download <b>libfdk-aac</b> and install it on your system.
fr_CA,fr_CI	The installed AAC encoding library does not support HE-AAC, only plain AAC. Configure a different encoding format in the preferences.
fr_CA,fr_CI	MP3 encoding is not supported. Lame could not be initialized
fr_CA,fr_CI	OGG recording is not supported. OGG/Vorbis library could not be initialized.
fr_CA,fr_CI	 encoder failure
fr_CA,fr_CI	Failed to apply the selected settings.
fr_CA,fr_CI	Readable text Export Failed
fr_CA,fr_CI	Playlist Export Has Special Characters
fr_CA,fr_CI	Some file paths in the playlist have special characters. These file paths will be encoded as absolute path URLs. Please select the m3u8 format for better and lossless exporting.
fr_CA,fr_CI	Pitch Shift
fr_CA,fr_CI	Raises or lowers the original pitch of a sound.
fr_CA,fr_CI	The pitch shift applied to the sound.
fr_CA,fr_CI	Low Disk Space Warning
fr_CA,fr_CI	Could not create audio file for recording!
fr_CA,fr_CI	Ensure there is enough free disk space and you have write permission for the Recordings folder.
fr_CA,fr_CI	You can change the location of the Recordings folder in Preferences -> Recording.
fr_CA,fr_CI	Folders
fr_CA,fr_CI	Reads databases exported for Pioneer CDJ / XDJ players using the Rekordbox Export mode.<br/>Rekordbox can only export to USB or SD devices with a FAT or HFS file system.<br/>Mixxx can read a database from any device that contains the database folders (<tt>PIONEER</tt> and <tt>Contents</tt>).<br/>Not supported are Rekordbox databases that have been moved to an external device via<br/><i>Preferences > Advanced > Database management</i>.<br/><br/>The following data is read:
fr_CA,fr_CI	Loops (only the first loop is currently usable in Mixxx)
fr_CA,fr_CI	Check for attached Rekordbox USB / SD devices (refresh)
fr_CA,fr_CI	Memory cues
fr_CA,fr_CI	(loading) Rekordbox
fr_CA,fr_CI	Save Sampler Bank
fr_CA,fr_CI	Error Saving Sampler Bank
fr_CA,fr_CI	Could not write the sampler bank to '%1'.
fr_CA,fr_CI	Load Sampler Bank
fr_CA,fr_CI	Error Reading Sampler Bank
fr_CA,fr_CI	Could not open the sampler bank file '%1'.
fr_CA,fr_CI	Reads the following from the Serato Music directory and removable devices:
fr_CA,fr_CI	Check for Serato databases (refresh)
fr_CA,fr_CI	(loading) Serato
fr_CA,fr_CI	Join with previous (below)
fr_CA,fr_CI	Finish current and start new
fr_CA,fr_CI	History
fr_CA,fr_CI	Mixxx encountered a problem
fr_CA,fr_CI	Could not allocate shout_t
fr_CA,fr_CI	Could not allocate shout_metadata_t
fr_CA,fr_CI	Error setting non-blocking mode:
fr_CA,fr_CI	Error setting tls mode:
fr_CA,fr_CI	Error setting hostname!
fr_CA,fr_CI	Error setting port!
fr_CA,fr_CI	Error setting password!
fr_CA,fr_CI	Error setting mount!
fr_CA,fr_CI	Error setting username!
fr_CA,fr_CI	Error setting stream name!
fr_CA,fr_CI	Error setting stream description!
fr_CA,fr_CI	Error setting stream genre!
fr_CA,fr_CI	Error setting stream url!
fr_CA,fr_CI	Error setting stream IRC!
fr_CA,fr_CI	Error setting stream AIM!
fr_CA,fr_CI	Error setting stream ICQ!
fr_CA,fr_CI	Error setting stream public!
fr_CA,fr_CI	Unknown stream encoding format!
fr_CA,fr_CI	Use a libshout version with %1 enabled
fr_CA,fr_CI	Error setting stream encoding format!
fr_CA,fr_CI	Broadcasting at 96 kHz with Ogg Vorbis is not currently supported. Please try a different sample rate or switch to a different encoding.
fr_CA,fr_CI	Unsupported sample rate
fr_CA,fr_CI	Error setting bitrate
fr_CA,fr_CI	Error: unknown server protocol!
fr_CA,fr_CI	Error: Shoutcast only supports MP3 and AAC encoders
fr_CA,fr_CI	Error setting protocol!
fr_CA,fr_CI	Network cache overflow
fr_CA,fr_CI	Connection error
fr_CA,fr_CI	One of the Live Broadcasting connections raised this error:<br><b>Error with connection '%1':</b><br>
fr_CA,fr_CI	Connection message
fr_CA,fr_CI	<b>Message from Live Broadcasting connection '%1':</b><br>
fr_CA,fr_CI	Lost connection to streaming server and %1 attempts to reconnect have failed.
fr_CA,fr_CI	Lost connection to streaming server.
fr_CA,fr_CI	Please check your connection to the Internet.
fr_CA,fr_CI	Can't connect to streaming server
fr_CA,fr_CI	Please check your connection to the Internet and verify that your username and password are correct.
fr_CA,fr_CI	a device
fr_CA,fr_CI	An unknown error occurred
fr_CA,fr_CI	Two outputs cannot share channels on "%1"
fr_CA,fr_CI	Error opening "%1"
fr_CA,fr_CI	Count
fr_CA,fr_CI	Units
fr_CA,fr_CI	Mean
fr_CA,fr_CI	Standard Deviation
fr_CA,fr_CI	Fingerprinting track
fr_CA,fr_CI	Identifying track through Acoustid
fr_CA,fr_CI	Retrieving metadata from MusicBrainz
fr_CA,fr_CI	Reset to default value.
fr_CA,fr_CI	Left-click
fr_CA,fr_CI	Right-click
fr_CA,fr_CI	Double-click
fr_CA,fr_CI	Scroll-wheel
fr_CA,fr_CI	Shift-key
fr_CA,fr_CI	loop active
fr_CA,fr_CI	loop inactive
fr_CA,fr_CI	Effects within the chain must be enabled to hear them.
fr_CA,fr_CI	Waveform Overview
fr_CA,fr_CI	Use the mouse to scratch, spin-back or throw tracks.
fr_CA,fr_CI	Waveform Display
fr_CA,fr_CI	Shows the loaded track's waveform near the playback position.
fr_CA,fr_CI	Drag with mouse to make temporary pitch adjustments.
fr_CA,fr_CI	Scroll to change the waveform zoom level.
fr_CA,fr_CI	Spinning Vinyl
fr_CA,fr_CI	Rotates during playback and shows the position of a track.
fr_CA,fr_CI	Right click to show cover art of loaded track.
fr_CA,fr_CI	Adjusts the pre-fader gain of the track (to avoid clipping).
fr_CA,fr_CI	(too loud for the hardware and is being distorted).
fr_CA,fr_CI	Indicates when the signal on the channel is clipping,
fr_CA,fr_CI	Channel Volume Meter
fr_CA,fr_CI	Shows the current channel volume.
fr_CA,fr_CI	Microphone Volume Meter
fr_CA,fr_CI	Shows the current microphone volume.
fr_CA,fr_CI	Auxiliary Volume Meter
fr_CA,fr_CI	Shows the current auxiliary volume.
fr_CA,fr_CI	Auxiliary Peak Indicator
fr_CA,fr_CI	Indicates when the signal on the auxiliary is clipping,
fr_CA,fr_CI	Volume Control
fr_CA,fr_CI	Adjusts the volume of the selected channel.
fr_CA,fr_CI	Booth Gain
fr_CA,fr_CI	Adjusts the booth output gain.
fr_CA,fr_CI	Headphone Volume
fr_CA,fr_CI	Adjusts the headphone output volume.
fr_CA,fr_CI	Adjusts the headphone output gain.
fr_CA,fr_CI	Adjust the Headphone Mix so in the left channel is not the pure cueing signal.
fr_CA,fr_CI	Show/hide the Microphone section.
fr_CA,fr_CI	Show/hide the Sampler section.
fr_CA,fr_CI	Show/hide the Vinyl Control section.
fr_CA,fr_CI	Show/hide the Preview deck.
fr_CA,fr_CI	Show/hide Cover Art.
fr_CA,fr_CI	Show Library
fr_CA,fr_CI	Show or hide the track library.
fr_CA,fr_CI	Show Effects
fr_CA,fr_CI	Show or hide the effects.
fr_CA,fr_CI	Toggle Mixer
fr_CA,fr_CI	Microphone Volume
fr_CA,fr_CI	Adjusts the microphone volume.
fr_CA,fr_CI	Microphone Gain
fr_CA,fr_CI	Adjusts the pre-fader microphone gain.
fr_CA,fr_CI	Auxiliary Gain
fr_CA,fr_CI	Adjusts the pre-fader auxiliary gain.
fr_CA,fr_CI	Microphone Talk-Over
fr_CA,fr_CI	Hold-to-talk or short click for latching to
fr_CA,fr_CI	Microphone Talkover Mode
fr_CA,fr_CI	Off: Do not reduce music volume
fr_CA,fr_CI	Manual: Reduce music volume by a fixed amount set by the Strength knob.
fr_CA,fr_CI	Behavior depends on Microphone Talkover Mode:
fr_CA,fr_CI	Off: Does nothing
fr_CA,fr_CI	Raise Pitch
fr_CA,fr_CI	Sets the pitch higher.
fr_CA,fr_CI	Sets the pitch higher in small steps.
fr_CA,fr_CI	Lower Pitch
fr_CA,fr_CI	Sets the pitch lower.
fr_CA,fr_CI	Sets the pitch lower in small steps.
fr_CA,fr_CI	Raise Pitch Temporary (Nudge)
fr_CA,fr_CI	Holds the pitch higher while active.
fr_CA,fr_CI	Holds the pitch higher (small amount) while active.
fr_CA,fr_CI	Lower Pitch Temporary (Nudge)
fr_CA,fr_CI	Holds the pitch lower while active.
fr_CA,fr_CI	Holds the pitch lower (small amount) while active.
fr_CA,fr_CI	Adjusts the gain of the low EQ filter.
fr_CA,fr_CI	Adjusts the gain of the mid EQ filter.
fr_CA,fr_CI	Adjusts the gain of the high EQ filter.
fr_CA,fr_CI	Hold-to-kill or short click for latching.
fr_CA,fr_CI	High EQ Kill
fr_CA,fr_CI	Holds the gain of the high EQ to zero while active.
fr_CA,fr_CI	Mid EQ Kill
fr_CA,fr_CI	Holds the gain of the mid EQ to zero while active.
fr_CA,fr_CI	Low EQ Kill
fr_CA,fr_CI	Holds the gain of the low EQ to zero while active.
fr_CA,fr_CI	Displays the tempo of the loaded track in BPM (beats per minute).
fr_CA,fr_CI	When tapped repeatedly, adjusts the BPM to match the tapped BPM.
fr_CA,fr_CI	Adjust BPM Down
fr_CA,fr_CI	When tapped, adjusts the average BPM down by a small amount.
fr_CA,fr_CI	Adjust BPM Up
fr_CA,fr_CI	When tapped, adjusts the average BPM up by a small amount.
fr_CA,fr_CI	Adjust Beats Earlier
fr_CA,fr_CI	When tapped, moves the beatgrid left by a small amount.
fr_CA,fr_CI	Adjust Beats Later
fr_CA,fr_CI	When tapped, moves the beatgrid right by a small amount.
fr_CA,fr_CI	Tempo and BPM Tap
fr_CA,fr_CI	Show/hide the spinning vinyl section.
fr_CA,fr_CI	Toggling keylock during playback may result in a momentary audio glitch.
fr_CA,fr_CI	Toggle visibility of Loop Controls
fr_CA,fr_CI	Toggle visibility of Beatjump Controls
fr_CA,fr_CI	Toggle visibility of Rate Control
fr_CA,fr_CI	Toggle visibility of Key Controls
fr_CA,fr_CI	(while previewing)
fr_CA,fr_CI	Places a cue point at the current position on the waveform.
fr_CA,fr_CI	Stops track at cue point, OR go to cue point and play after release (CUP mode).
fr_CA,fr_CI	Set cue point (Pioneer/Mixxx/Numark mode), set cue point and play after release (CUP mode) OR preview from it (Denon mode).
fr_CA,fr_CI	Is latching the playing state.
fr_CA,fr_CI	Seeks the track to the cue point and stops.
fr_CA,fr_CI	Plays track from the cue point.
fr_CA,fr_CI	Sends the selected channel's audio to the headphone output, selected in Preferences -> Sound Hardware.
fr_CA,fr_CI	(This skin should be updated to use Sync Lock!)
fr_CA,fr_CI	Enable Sync Lock
fr_CA,fr_CI	Tap to sync the tempo to other playing tracks or the sync leader.
fr_CA,fr_CI	Enable Sync Leader
fr_CA,fr_CI	When enabled, this device will serve as the sync leader for all other decks.
fr_CA,fr_CI	Changes the track playback speed (affects both the tempo and the pitch). If keylock is enabled, only the tempo is affected.
fr_CA,fr_CI	Tempo Range Display
fr_CA,fr_CI	Displays the current range of the tempo slider.
fr_CA,fr_CI	Delete selected hotcue.
fr_CA,fr_CI	Opens separate artwork viewer.
fr_CA,fr_CI	Effect Chain Preset Settings
fr_CA,fr_CI	Show the effect chain settings menu for this unit.
fr_CA,fr_CI	Select and configure a hardware device for this input
fr_CA,fr_CI	Recording Duration
fr_CA,fr_CI	Big Spinny/Cover Art
fr_CA,fr_CI	Show a big version of the Spinny or track cover art if enabled.
fr_CA,fr_CI	Main Output Peak Indicator
fr_CA,fr_CI	Indicates when the signal on the main output is clipping,
fr_CA,fr_CI	Main Output L Peak Indicator
fr_CA,fr_CI	Indicates when the left signal on the main output is clipping,
fr_CA,fr_CI	Main Output R Peak Indicator
fr_CA,fr_CI	Indicates when the right signal on the main output is clipping,
fr_CA,fr_CI	Main Channel L Volume Meter
fr_CA,fr_CI	Shows the current volume for the left channel of the main output.
fr_CA,fr_CI	Shows the current volume for the right channel of the main output.
fr_CA,fr_CI	Adjusts the main output gain.
fr_CA,fr_CI	Determines the main output by fading between the left and right channels.
fr_CA,fr_CI	Adjusts the left/right channel balance on the main output.
fr_CA,fr_CI	Crossfades the headphone output between the main mix and cueing (PFL or Pre-Fader Listening) signal.
fr_CA,fr_CI	If activated, the main mix signal plays in the right channel, while the cueing signal plays in the left channel.
fr_CA,fr_CI	Show/hide Cover Art of the selected track in the library.
fr_CA,fr_CI	Show/hide the scrolling waveforms
fr_CA,fr_CI	Show/hide the beatgrid controls section
fr_CA,fr_CI	Hide all skin sections except the decks to have more screen space for the track library.
fr_CA,fr_CI	Volume Meters
fr_CA,fr_CI	mix microphone input into the main output.
fr_CA,fr_CI	Auto: Automatically reduce music volume when microphone volume rises above threshold.
fr_CA,fr_CI	Adjust the amount the music volume is reduced with the Strength knob.
fr_CA,fr_CI	Auto: Sets how much to reduce the music volume when the volume of active microphones rises above threshold.
fr_CA,fr_CI	Manual: Sets how much to reduce the music volume, when talkover is activated regardless of volume of microphone inputs.
fr_CA,fr_CI	Shift cues earlier
fr_CA,fr_CI	Shift cues imported from Serato or Rekordbox if they are slightly off time.
fr_CA,fr_CI	Left click: shift 10 milliseconds earlier
fr_CA,fr_CI	Right click: shift 1 millisecond earlier
fr_CA,fr_CI	Shift cues later
fr_CA,fr_CI	Left click: shift 10 milliseconds later
fr_CA,fr_CI	Right click: shift 1 millisecond later
fr_CA,fr_CI	Mutes the selected channel's audio in the main output.
fr_CA,fr_CI	Main mix enable
fr_CA,fr_CI	Hold or short click for latching to mix this input into the main output.
fr_CA,fr_CI	Displays the duration of the running recording.
fr_CA,fr_CI	Auto DJ is active
fr_CA,fr_CI	Hot Cue - Track will seek to nearest previous hotcue point.
fr_CA,fr_CI	Sets the track Loop-In Marker to the current play position.
fr_CA,fr_CI	Press and hold to move Loop-In Marker.
fr_CA,fr_CI	Jump to Loop-In Marker.
fr_CA,fr_CI	Sets the track Loop-Out Marker to the current play position.
fr_CA,fr_CI	Press and hold to move Loop-Out Marker.
fr_CA,fr_CI	Jump to Loop-Out Marker.
fr_CA,fr_CI	Beatloop Size
fr_CA,fr_CI	Select the size of the loop in beats to set with the Beatloop button.
fr_CA,fr_CI	Changing this resizes the loop if the loop already matches this size.
fr_CA,fr_CI	Halve the size of an existing beatloop, or halve the size of the next beatloop set with the Beatloop button.
fr_CA,fr_CI	Double the size of an existing beatloop, or double the size of the next beatloop set with the Beatloop button.
fr_CA,fr_CI	Start a loop over the set number of beats.
fr_CA,fr_CI	Temporarily enable a rolling loop over the set number of beats.
fr_CA,fr_CI	Beatjump/Loop Move Size
fr_CA,fr_CI	Select the number of beats to jump or move the loop with the Beatjump Forward/Backward buttons.
fr_CA,fr_CI	Beatjump Forward
fr_CA,fr_CI	Jump forward by the set number of beats.
fr_CA,fr_CI	Move the loop forward by the set number of beats.
fr_CA,fr_CI	Jump forward by 1 beat.
fr_CA,fr_CI	Move the loop forward by 1 beat.
fr_CA,fr_CI	Beatjump Backward
fr_CA,fr_CI	Jump backward by the set number of beats.
fr_CA,fr_CI	Move the loop backward by the set number of beats.
fr_CA,fr_CI	Jump backward by 1 beat.
fr_CA,fr_CI	Move the loop backward by 1 beat.
fr_CA,fr_CI	If the loop is ahead of the current position, looping will start when the loop is reached.
fr_CA,fr_CI	Works only if Loop-In and Loop-Out Marker are set.
fr_CA,fr_CI	Enable loop, jump to Loop-In Marker, and stop playback.
fr_CA,fr_CI	Displays the elapsed and/or remaining time of the track loaded.
fr_CA,fr_CI	Click to toggle between time elapsed/remaining time/both.
fr_CA,fr_CI	Hint: Change the time format in Preferences -> Decks.
fr_CA,fr_CI	Show/hide intro & outro markers and associated buttons.
fr_CA,fr_CI	If marker is set, jumps to the marker.
fr_CA,fr_CI	If marker is not set, sets the marker to the current play position.
fr_CA,fr_CI	If marker is set, clears the marker.
fr_CA,fr_CI	Adjust the mixing of the dry (input) signal with the wet (output) signal of the effect unit
fr_CA,fr_CI	D/W mode: Crossfade between dry and wet
fr_CA,fr_CI	D+W mode: Add wet to dry
fr_CA,fr_CI	Mix Mode
fr_CA,fr_CI	Adjust how the dry (input) signal is mixed with the wet (output) signal of the effect unit
fr_CA,fr_CI	Dry/Wet mode (crossed lines): Mix knob crossfades between dry and wet\nUse this to change the sound of the track with EQ and filter effects.
fr_CA,fr_CI	Dry+Wet mode (flat dry line): Mix knob adds wet to dry\nUse this to change only the effected (wet) signal with EQ and filter effects.
fr_CA,fr_CI	Route the main mix through this effect unit.
fr_CA,fr_CI	Route the left crossfader bus through this effect unit.
fr_CA,fr_CI	Route the right crossfader bus through this effect unit.
fr_CA,fr_CI	Right side active: parameter moves with right half of Meta Knob turn
fr_CA,fr_CI	Skin Settings Menu
fr_CA,fr_CI	Show/hide skin settings menu
fr_CA,fr_CI	Save the collection of samples loaded in the samplers.
fr_CA,fr_CI	Load a previously saved collection of samples into the samplers.
fr_CA,fr_CI	Enable Effect
fr_CA,fr_CI	Set how this parameter is linked to the effect's Meta Knob.
fr_CA,fr_CI	Meta Knob Link Inversion
fr_CA,fr_CI	Inverts the direction this parameter moves when turning the effect's Meta Knob.
fr_CA,fr_CI	Clear the current effect.
fr_CA,fr_CI	Toggle the current effect.
fr_CA,fr_CI	Clear effect unit.
fr_CA,fr_CI	Show/hide parameters for effects in this unit.
fr_CA,fr_CI	Enable or disable this whole effect unit.
fr_CA,fr_CI	Controls the Meta Knob of all effects in this unit together.
fr_CA,fr_CI	Load next effect chain preset into this effect unit.
fr_CA,fr_CI	Load previous effect chain preset into this effect unit.
fr_CA,fr_CI	Load next or previous effect chain preset into this effect unit.
fr_CA,fr_CI	Assign Effect Unit
fr_CA,fr_CI	Assign this effect unit to the channel output.
fr_CA,fr_CI	Route the headphone channel through this effect unit.
fr_CA,fr_CI	Route this deck through the indicated effect unit.
fr_CA,fr_CI	Route this sampler through the indicated effect unit.
fr_CA,fr_CI	Route this microphone through the indicated effect unit.
fr_CA,fr_CI	Route this auxiliary input through the indicated effect unit.
fr_CA,fr_CI	The effect unit must also be assigned to a deck or other sound source to hear the effect.
fr_CA,fr_CI	Switch to the next effect.
fr_CA,fr_CI	Switch to the previous effect.
fr_CA,fr_CI	Switch to either the next or previous effect.
fr_CA,fr_CI	Controls linked parameters of this effect
fr_CA,fr_CI	Effect Focus Button
fr_CA,fr_CI	Focuses this effect.
fr_CA,fr_CI	Unfocuses this effect.
fr_CA,fr_CI	Refer to the web page on the Mixxx wiki for your controller for more information.
fr_CA,fr_CI	Adjusts a parameter of the effect.
fr_CA,fr_CI	Inactive: parameter not linked
fr_CA,fr_CI	Active: parameter moves with Meta Knob
fr_CA,fr_CI	Left side active: parameter moves with left half of Meta Knob turn
fr_CA,fr_CI	Left and right side active: parameter moves across range with half of Meta Knob turn and back with the other half
fr_CA,fr_CI	Equalizer Parameter Kill
fr_CA,fr_CI	Holds the gain of the EQ to zero while active.
fr_CA,fr_CI	Quick Effect Super Knob
fr_CA,fr_CI	Quick Effect Super Knob (control linked effect parameters).
fr_CA,fr_CI	Hint: Change the default Quick Effect mode in Preferences -> Equalizers.
fr_CA,fr_CI	Adjusts the gain of the EQ filter.
fr_CA,fr_CI	Hint: Change the default EQ mode in Preferences -> Equalizers.
fr_CA,fr_CI	Adjust beatgrid so the closest beat is aligned with the current play position.
fr_CA,fr_CI	If quantize is enabled, snaps to the nearest beat.
fr_CA,fr_CI	Toggles quantization.
fr_CA,fr_CI	Loops and cues snap to the nearest beat when quantization is enabled.
fr_CA,fr_CI	Reverse
fr_CA,fr_CI	Reverses track playback during regular playback.
fr_CA,fr_CI	Puts a track into reverse while being held (Censor).
fr_CA,fr_CI	Playback continues where the track would have been if it had not been temporarily reversed.
fr_CA,fr_CI	Play/Pause
fr_CA,fr_CI	Jumps to the beginning of the track.
fr_CA,fr_CI	Syncs the tempo (BPM) and phase to that of the other track, if BPM is detected on both.
fr_CA,fr_CI	Syncs the tempo (BPM) to that of the other track, if BPM is detected on both.
fr_CA,fr_CI	Sync and Reset Key
fr_CA,fr_CI	Increases the pitch by one semitone.
fr_CA,fr_CI	Decreases the pitch by one semitone.
fr_CA,fr_CI	Enable Vinyl Control
fr_CA,fr_CI	When disabled, the track is controlled by Mixxx playback controls.
fr_CA,fr_CI	When enabled, the track responds to external vinyl control.
fr_CA,fr_CI	Enable Passthrough
fr_CA,fr_CI	Indicates that the audio buffer is too small to do all audio processing.
fr_CA,fr_CI	Displays cover artwork of the loaded track.
fr_CA,fr_CI	Displays options for editing cover artwork.
fr_CA,fr_CI	Star Rating
fr_CA,fr_CI	Assign ratings to individual tracks by clicking the stars.
fr_CA,fr_CI	Channel Peak Indicator
fr_CA,fr_CI	Drag this item to other decks/samplers, to crates and playlist or to external file manager.
fr_CA,fr_CI	Shows information about the track currently loaded in this deck.
fr_CA,fr_CI	Left click to jump around in the track.
fr_CA,fr_CI	Right click hotcues to edit their labels and colors.
fr_CA,fr_CI	Right click anywhere else to show the time at that point.
fr_CA,fr_CI	Channel L Peak Indicator
fr_CA,fr_CI	Indicates when the left signal on the channel is clipping,
fr_CA,fr_CI	Channel R Peak Indicator
fr_CA,fr_CI	Indicates when the right signal on the channel is clipping,
fr_CA,fr_CI	Channel L Volume Meter
fr_CA,fr_CI	Shows the current channel volume for the left channel.
fr_CA,fr_CI	Channel R Volume Meter
fr_CA,fr_CI	Shows the current channel volume for the right channel.
fr_CA,fr_CI	Microphone Peak Indicator
fr_CA,fr_CI	Indicates when the signal on the microphone is clipping,
fr_CA,fr_CI	Sampler Volume Meter
fr_CA,fr_CI	Shows the current sampler volume.
fr_CA,fr_CI	Sampler Peak Indicator
fr_CA,fr_CI	Indicates when the signal on the sampler is clipping,
fr_CA,fr_CI	Preview Deck Volume Meter
fr_CA,fr_CI	Shows the current Preview Deck volume.
fr_CA,fr_CI	Preview Deck Peak Indicator
fr_CA,fr_CI	Indicates when the signal on the Preview Deck is clipping,
fr_CA,fr_CI	Maximize Library
fr_CA,fr_CI	Microphone Talkover Ducking Strength
fr_CA,fr_CI	Prevents the pitch from changing when the rate changes.
fr_CA,fr_CI	Changes the number of hotcue buttons displayed in the deck
